#  Seq         NAMEJ   FLUX_15S    ERR_15S     FLUX_K      ERR_K          alpha_RK
#  num         J2000        MJY        MJY        MJY        MJY           DIMLESS
#2345678901234567890123456789012345678901234567890123456789012345678901234567890
#        1         2         3         4         5         6         7         8
   88    J0015+3052     38.000      1.300     24.500      1.200    0.11870631E+01
   89    J1529+4538     36.300      1.200     23.200      1.000    0.12107343E+01
   90    J0933+2845     35.600      6.000     22.500      1.200    0.12409303E+01
   91    J0028+2914     78.100      2.000     49.300      2.500    0.12442723E+01
   92    J1541+4456     47.600      1.600     30.000      4.000    0.12485167E+01
   93    J1550+4536     31.800      1.000     20.000      1.000    0.12541926E+01
   94    J1530+3758     60.800      1.800     38.000      2.000    0.12711491E+01
   95    J1503+4528     65.900      2.000     41.000      2.000    0.12834894E+01
   96    J0030+3415     25.200      1.000     15.500      0.800    0.13144230E+01
   97    J1502+3947     35.200      1.200     21.300      1.000    0.13586021E+01
   98    J0020+3152     31.800      1.000     19.100      0.850    0.13787208E+01
   99    J0021+3226     27.400      0.820     15.800      0.850    0.14889452E+01
  100    J0013+2646     30.000      1.000     17.000      0.900    0.15361423E+01
  101    J0027+2830     24.000      1.000     13.500      0.500    0.15561022E+01
  102    J1510+3750     76.900      3.300     43.000      2.000    0.15721716E+01
  103    J1553+4039     33.300      1.000     18.600      1.000    0.15751196E+01
  104    J0021+2711     38.700      1.200     21.000      2.000    0.16533390E+01
  105    J1558+4146     32.800      1.000     17.700      2.000    0.16683402E+01
  106    J0023+2734     76.800      2.000     40.100      2.000    0.17574946E+01
  107    J0030+2833     47.400      2.000     24.000      2.000    0.18406326E+01
  108    J0028+3103     36.100      1.000     15.000      1.000    0.23752527E+01
  109    J0033+2752     23.100      0.700      9.000      1.300    0.25493324E+01
  110    J0018+3105     45.000     10.000     17.000      3.000    0.26327437E+01
